29,61
1,9
50,95
82,1
18,61
84,84
31,16
34,57
22,74
53,45
57,82
97,54
2,48
85,51
82,81
86,3
65,14
32,89
75,7
16,58
4,42
47,71
18,20
32,6
28,48
77,34
32,9
65,99
44,100
75,32
65,40
22,4
10,13
19,42
31,36
8,74
39,9
92,95
63,21
83,28
19,26
90,77
73,35
34,12
98,31
76,87
91,13
9,90
39,67
26,83
8,18
14,28
85,94
78,29
15,66
46,35
50,2
93,19
35,96
1,37
64,48
85,6
4,19
4,75
54,14
27,28
24,87
75,34
48,75
33,71
28,92
27,34
45,94
95,70
43,20
46,26
52,80
56,93
63,25
62,97
55,43
33,83
37,0
24,56
94,100
41,92
44,16
62,9
88,91
82,7
60,20
74,60
55,79
3,42
27,70
76,45
25,82
36,34
22,71
34,95
